Entidade,Pagina,Titulo,Link,Data,Tema,texto
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,"Deliberação Normativa COPAM nº 245, de 24 de março de 2022",https://www.siam.mg.gov.br/sla/download.pdf?idNorma=55742,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,"Deliberação Normativa COPAM nº 217, de 6 de dezembro de 2017",https://www.siam.mg.gov.br/sla/download.pdf?idNorma=45558,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,"Decreto Estadual nº 45.969, de 24 de maio de 2012",https://www.almg.gov.br/legislacao-mineira/DEC/45969/2012/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,"Decreto Estadual nº 48.419, de 16 de maio de 2022","https://www.almg.gov.br/legislacao-mineira/DEC/48419/2022/#:~:text=Disp%C3%B5e%20sobre%20a%20Pol%C3%ADtica%20Mineira%20de%20Promo%C3%A7%C3%A3o%20da%20Integridade.&text=Resumo%20Altera%C3%A7%C3%A3o%2C%20Denomina%C3%A7%C3%A3o%2C%20Plano%20Mineiro,%2C%20Probidade%2C%20Legalidade%2C%20Executivo.",,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,"Resolução ANA nº 161, de 03 de agosto de 2023",https://www.gov.br/ana/pt-br/legislacao/resolucoes/resolucoes-regulatorias/2023/161,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,"Resolução ANA nº 177, de 12 de janeiro de 2024",https://www.gov.br/ana/pt-br/legislacao/resolucoes/resolucoes-regulatorias/2024/177,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,"Resolução ANA nº 178, de 15 de janeiro de 2024",https://www.gov.br/ana/pt-br/legislacao/resolucoes/resolucoes-regulatorias/2024/178,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,"Resolução ANA nº 183, de 05 de fevereiro de 2024",https://www.gov.br/ana/pt-br/legislacao/resolucoes/resolucoes-regulatorias/2024/183,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,"Resolução ANA nº 192, de 08 de maio de 2024",https://www.gov.br/ana/pt-br/legislacao/resolucoes/resolucoes-regulatorias/2024/192,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,"Resolução ANA nº 211, de 19 de setembro de 2024",https://www.gov.br/ana/pt-br/legislacao/resolucoes/resolucoes-regulatorias/2024/211,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,"Resolução nº 228, de 12 de dezembro 2024",https://www.gov.br/ana/pt-br/legislacao/resolucoes/resolucoes-regulatorias/2024/228,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,"Resolução nº 230, de 18 de dezembro de 2024",https://www.gov.br/ana/pt-br/legislacao/resolucoes/resolucoes-regulatorias/2024/230,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,"Resolução ANA nº 134, de 18 de novembro de 2022",https://www.gov.br/ana/pt-br/legislacao/resolucoes/resolucoes-regulatorias/2022/134,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,"Resolução ANA nº 179, de 15 de janeiro de 2024",https://www.gov.br/ana/pt-br/legislacao/resolucoes/resolucoes-regulatorias/2024/179,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,"Resolução ANA nº 209, de 09 de setembro de 2024",https://www.gov.br/ana/pt-br/legislacao/resolucoes/resolucoes-regulatorias/2024/211,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,"Resolução nº 227, de 10 de dezembro de 2024",https://www.gov.br/ana/pt-br/legislacao/resolucoes/resolucoes-regulatorias/2024/227,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,Telefones de contato,https://www.arsae.mg.gov.br/legislacao-setorial/quem-e-quem/,,Não Classificado,
